object-id,filename,title,creator,publisher/publication,place,date,description,subject,page,vol-issue,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0001,,Fourth of July,Rich Wandschneider,Rich Wandschneider,,2019-06-28,"Blog entry from June 28, 2019",Colville Reservation;Albert Andrews;Fourth of July;Redstar;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/06/fourth-of-july.html,record,url,eng,,
josephy0002,,Mohawk Code Talkers,Rich Wandschneider,Rich Wandschneider,,2019-06-08,"Blog entry from June 8, 2019",Chester Nez;Louis Oakes;Mohawk code talkers;Hearbeat of Wounded Knee;David Treuer;navajo code talkers;vanishing Indian,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/06/mohawk-code-talkers.html,record,url,eng,,
josephy0003,,Indian photos in the exhibit,Rich Wandschneider,Rich Wandschneider,,2019-03-05,"Blog entry from March 5, 2019",assimilation;Edward Sheriff Curtis;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/03/josephs-last-visit-1900.html,record,url,eng,,
josephy0004,,Photo Exhibit at the Josephy Center,Rich Wandschneider,Rich Wandschneider,,2019-01-31,"Blog entry from January 31, 2019",Wallowa History Center;Eagle Cap;Wallowa County;Wallowa County;Mazama,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/01/photo-exhibit-at-josephy-center.html,record,url,eng,,
josephy0005,,At Mid-winter,Rich Wandschneider,Rich Wandschneider,,2018-12-23,"Blog entry from December 23, 2018",Palestine;Alvin Josephy;'youth exchange and study programs';American Indian;YES,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/12/at-mid-winter.html,record,url,eng,,
josephy0006,,Invisible Indians; Invisible Nez Perce,Rich Wandschneider,Rich Wandschneider,,2018-12-04,"Blog entry from December 4, 2018",T.T;Grace Bartlett;Alvin Josephy;America in 1492;Wallowa Lake;Geer;Nez Perce;Fifty Years in Oregon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/12/invisible-indians-invisible-nez-perce.html,record,url,eng,,
josephy0007,,The Generational Wreckage of Boarding Schools,Rich Wandschneider,Rich Wandschneider,,2018-11-27,"Blog entry from November 27, 2018",Colville Reservation;Thick Dark Fog;Walter Littlemoon;Indian Territory;umatilla reservation;Indian boarding schools;Nez Perce;Chief Joseph,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/the-generational-wreckage-of-boarding.html,record,url,eng,,
josephy0009,,A pitch into the future,Rich Wandschneider,Rich Wandschneider,,2018-11-19,"Blog entry from November 19, 2018",Haruo Aoki;Josephy Center;Alvin Josephy;Wallowa;Doug Hyde;Nez Perce;,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/a-pitch-into-future.html,record,url,eng,,
josephy0010,,Lessons from the Redstars,Rich Wandschneider,Rich Wandschneider,,2018-11-12,"Blog entry from November 12, 2018",Colville Reservation;Lapwai;Wallowa Land Trust;oral tradition;Nespelem;Indian Territory;Bear's Paw;Nez Perce,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/lessons-from-redstars.html,record,url,eng,,
josephy0011,,Coho return to the Lostine River!,Rich Wandschneider,Rich Wandschneider,,2018-10-23,"Blog entry from October 23, 2018",1855 treaty;Nez Perce Fisheries;Boldt decision;Coho Salmon,,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/10/coho-return-to-lostine-river.html,record,url,eng,,
