indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
josephy0001,,Fourth of July,Rich Wandschneider,2019-06-28,"Blog entry from June 28, 2019",Colville Reservation;Albert Andrews;Fourth of July;Redstar;Nez Perce;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/06/fourth-of-july.html,record,url,eng,,
josephy0002,,Mohawk Code Talkers,Rich Wandschneider,2019-06-08,"Blog entry from June 8, 2019",Chester Nez;Louis Oakes;Mohawk code talkers;Hearbeat of Wounded Knee;David Treuer;navajo code talkers;vanishing Indian,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/06/mohawk-code-talkers.html,record,url,eng,,
josephy0003,,Indian photos in the exhibit,Rich Wandschneider,2019-03-05,"Blog entry from March 5, 2019",assimilation;Edward Sheriff Curtis;Nez Perce;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/03/josephs-last-visit-1900.html,record,url,eng,,
josephy0004,,Photo Exhibit at the Josephy Center,Rich Wandschneider,2019-01-31,"Blog entry from January 31, 2019",Wallowa History Center;Eagle Cap;Wallowa Country;Wallowa County;Mazama,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2019/01/photo-exhibit-at-josephy-center.html,record,url,eng,,
josephy0005,,At Mid-winter,Rich Wandschneider,2018-12-23,"Blog entry from December 23, 2018",Palestine;Alvin Josephy;'youth exchange and study programs';American Indian;YES,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/12/at-mid-winter.html,record,url,eng,,
josephy0006,,Invisible Indians; Invisible Nez Perce,Rich Wandschneider,2018-12-04,"Blog entry from December 4, 2018",T.T;Grace Bartlett;Alvin Josephy;America in 1492;Wallowa Lake;Geer;Nez Perce;Fifty Years in Oregon,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/12/invisible-indians-invisible-nez-perce.html,record,url,eng,,
josephy0007,,The Generational Wreckage of Boarding Schools,Rich Wandschneider,2018-11-27,"Blog entry from November 27, 2018",Colville Reservation;Thick Dark Fog;Walter Littlemoon;Indian Territory;umatilla reservation;Indian boarding schools;Nez Perce;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/the-generational-wreckage-of-boarding.html,record,url,eng,,
josephy0009,;,A pitch into the future,Rich Wandschneider,2018-11-19,"Blog entry from November 19, 2018",Haruo Aoki;Josephy Center;Alvin Josephy;Wallowa;Doug Hyde;Nez Perce;,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/a-pitch-into-future.html,record,url,eng,,
josephy0010,,Lessons from the Redstars,Rich Wandschneider,2018-11-12,"Blog entry from November 12, 2018",Colville Reservation;Lapwai;Wallowa Land Trust;oral tradition;Nespelem;Indian Territory;Bear's Paw;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/11/lessons-from-redstars.html,record,url,eng,,
josephy0011,,Coho return to the Lostine River!,Rich Wandschneider,2018-10-23,"Blog entry from October 23, 2018",1855 treaty;Nez Perce Fisheries;Boldt decision;Coho Salmon,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/10/coho-return-to-lostine-river.html,record,url,eng,,
josephy0012,,The hearings and the listenings,Rich Wandschneider,2018-09-28,"Blog entry from September 28, 2018",McCarthy hearings;Supreme Court;Kavanaugh;Standing Rock;Christine Blasey Ford;Cory Booker,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/09/the-hearingsand-listenings.html,record,url,eng,,
josephy0013,,Fire—and another failure to listen to Indians,Rich Wandschneider,2018-09-10,"Blog entry from September 10, 2018",Forest fire;Indians and fire;salmon hatcheries;Indians and salmon;10 o'clock policy;intentional burning;Columbia River;US Forest Service,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/09/fire-and-another-failure-to-listen-to.html,record,url,eng,,
josephy0014,;,Built on Broken Families,Rich Wandschneider,2018-08-22,"Blog entry from August 22, 2018",Braceros;picture brides;indentured servants;Dawes Act;Chinese railroad workers;Termination;Indian boarding schools;slave markets;slavery;Indian Relocation;,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/08/built-on-broken-families.html,record,url,eng,,
josephy0015,,Indian Church,Rich Wandschneider,2018-08-03,"Blog entry from August 3, 2018",wallowa homeland;Indian religious freedom act;General Howard;seven drums;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/08/indian-church.html,record,url,eng,,
josephy0016,,Forked tongues,Rich Wandschneider,2018-07-12,"Blog entry from July 12, 2018",Alvin Josephy;forked tongue;Doug Hyde;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/07/forked-tongues.html,record,url,eng,,
josephy0017,,Writing on stolen land,Rich Wandschneider,2018-07-02,"Blog entry from July 2, 2018",Luis Urrea;Bette Husted;Marv Ross;Pamela Steele;Thomas Morning Owl;Paulette Jiles;Museum of the American Indian,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/07/writing-on-stolen-land.html,record,url,eng,,
josephy0018,,Lessons from a Nez Perce elder,Rich Wandschneider,2018-06-21,"Blog entry from June 21, 2018",William o. Douglas;Silas Whtiman;Nez Perce Dam;Snake River;Hells Canyon Preservation Council;BIA;High Mountain Sheep Dam,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/06/lessons-from-nez-perce-elder.html,record,url,eng,,
josephy0019,,A good library day—and salmon stories,Rich Wandschneider,2018-06-18,"Blog entry from June 18, 2018",Tamastslikt;Celilo Falls;Julie Kooch;Ghosts of Celilo;Bobbie Conner;Native Fish Society,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/06/a-good-library-day-and-salmon-stories.html,record,url,eng,,
josephy0020,,"Dams, Fish, Controversy—June events!",Rich Wandschneider,2018-05-29,"Blog entry from May 29, 2018",Arts Build Communities;Tamastslikt;Josephy Center;Wallowa Lake;Bobbie Conner;sockeye salmon,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/05/dams-fish-controversy-june-events.html,record,url,eng,,
josephy0021,,Nez Perce Scores,Rich Wandschneider,2018-05-24,"Blog entry from May 24, 2018",John Verrall;The Chief Joseph Legend;Nez Perce: Promises;Mark Eubanks Yaacov Bergman;Walla Walla Symphony;Diane Josephy,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/05/mark-eubanks-recently-brought-me-score.html,record,url,eng,,
josephy0022,,What DNA says,Rich Wandschneider,2018-05-02,"Blog entry from May 2, 2018",Anglo-American;Germans;American Indians;Manifest Destiny;whiteness;DNA;Scandinavians,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/05/what-dna-says.html,record,url,eng,,
josephy0023,,Canoe Notes #4,Rich Wandschneider,2018-04-24,"Blog entry from April 24, 2018",dugout canoe;plateau Indian culture;Josephy Center;Allen Pinkham,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/04/canoe-notes-4.html,record,url,eng,,
josephy0024,,Doug Hyde chosen for Joseph Main Street Art project,Rich Wandschneider,2018-04-12,"Blog entry from April 12, 2018",Oregon Community Foundation;Josephy Center;Creative Heights grant;Doug Hyde;Oregon;Joseph;Nez Perce,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/04/doug-hyde-chosen-for-joseph-main-street.html,record,url,eng,,
josephy0025,,White Privilege,Rich Wandschneider,2018-04-05,"Blog entry from April 5, 2018",Washington D. C. riots;White privilege;national guard;April 1968;whiteness;King assassination,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/04/white-privilege.html,record,url,eng,,
josephy0026,,"Race matters, color matters",Rich Wandschneider,2018-03-22,"Blog entry from March 22, 2018",Jackie Robinson story;women and children;racism,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/03/race-matters-color-matters.html,record,url,eng,,
josephy0027,,Sherman,Rich Wandschneider,2018-03-12,"Blog entry from March 12, 2018",harassment;Sherman Alexie;assault;Bill Clinton;Indian,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/03/sherman.html,record,url,eng,,
josephy0028,,The Josephy Library,Rich Wandschneider,2018-02-28,"Blog entry from February 28, 2018",Oregon Library Association;Josephy Library;Alvin Josephy,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/02/the-josephy-library.html,record,url,eng,,
josephy0029,,Immigration: two things to remember!,Rich Wandschneider,2018-01-28,"Blog entry from January 28, 2018",declaration of independence; immigration; migration;indentured servants; slaves;;American Indians;Mexicans,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/01/immigration-two-things-to-remember.html,record,url,eng,,
josephy0030,,A Better Life Among the Indians,Rich Wandschneider,2018-01-23,"Blog entry from January 23, 2018",Lois Lenski;Seneca;Mary Jemison;Newberry Award;Indian Captive,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/01/a-better-life-among-indians.html,record,url,eng,,
josephy0031,,The Early Assimilationists,Rich Wandschneider,2018-01-17,"Blog entry from January 17, 2018",Hellen Hunt Jackson;Pocahontas;Assimilationists;Alvin Josephy;John Rolfe,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2018/01/the-early-assimilationists.html,record,url,eng,,
josephy0032,,In-mut-too-yah-lat-lat at Christmas,Rich Wandschneider,2017-12-24,"Blog entry from December 24, 2017",Christmas Peace;Alvin Josephy;In-mut-too-yah-lat-lat;Nez Perce;Chief Joseph,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/12/in-mut-too-yah-lat-lat-at-christmas.html,record,url,eng,,
josephy0033,,The Indian Way of Life,Rich Wandschneider,2017-12-12,"Blog entry from December 12, 2017",male domination;women's rights;Benjamin Franklin;News of the World;white men;white power,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/12/the-indian-way-of-life.html,record,url,eng,,
josephy0034,,"Canoes, statues, gifts",Rich Wandschneider,2017-11-28,"Blog entry from November 28, 2017",,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/canoes-statues-gifts.html,record,url,eng,,
josephy0035,,Canoe notes #3 [2],Rich Wandschneider,2017-11-27,"Blog entry from November 27, 2017",dugout canoe;Josephy Center;Allen Pinkham;Nez Perce canoe,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/canoe-notes-3.html,record,url,eng,,
josephy0036,,History buffs and novelists tell the stories,Rich Wandschneider,2017-11-17,"Blog entry from November 17, 2017",noble savage;Mary Jemison;,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/history-buffs-and-novelists-tell-stories.html,record,url,eng,,
josephy0037,,Truth-telling,Rich Wandschneider,2017-11-13,"Blog entry from November 13, 2017",Harvey Weinstein;Amos Marsh;racism;sexism;Maxville;Pearl Marsh,,,,Rich Wandschneider Blog,https://josephylibrary.blogspot.com/2017/11/truth-telling.html,record,url,eng,,
